#"Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
141.599999999948,-32505.16210700918,-27613.318657577707,294.2503286638938
141.79999999994897,-32441.04200418471,-27482.330722875806,298.2725100174822
141.99999999994992,-32406.785848094238,-27453.9738240336,297.91766252448286
142.19999999995088,-32545.161749110703,-27420.805294315476,308.2362685154371
142.39999999995183,-32457.42653852093,-27304.293608529,309.96720847129416
142.5999999999528,-32253.732878457377,-27309.46417582137,297.40377135787764
142.79999999995374,-32400.875318507984,-27349.661080461316,303.8366752864326
142.9999999999547,-32438.031851450447,-27499.424720688257,297.0632209290166
143.19999999995565,-32456.29949380376,-27541.58800315589,295.6258691351667
143.3999999999566,-32288.380361422867,-27268.659389553097,301.9423170513323
143.59999999995756,-32367.42508031358,-27344.78367326036,302.1179847768952
143.79999999995852,-32590.5532044571,-27393.414707171556,312.6141968250797
143.99999999995947,-32175.637288673373,-27216.30094094068,298.31010852253206
144.19999999996043,-32302.053553228267,-27074.766928412486,314.4276433358023
144.39999999996138,-32144.08357582995,-27033.68032085392,307.3969665886372
144.59999999996234,-32265.309959291102,-27249.832924952352,301.6870390510772
144.7999999999633,-32390.926508189674,-27278.206695254106,307.5363103652746
144.99999999996425,-32467.29449793711,-27339.00953303455,308.4725731728105
145.1999999999652,-32232.410931509803,-27313.267059820588,295.8924822415881
145.39999999996616,-32316.98950484369,-27280.290037680854,302.96359417760317
145.5999999999671,-32429.820954345196,-27227.94210042435,312.89933503776797
145.79999999996807,-32387.18220125555,-27256.598891808157,308.61082139041827
145.99999999996902,-32377.060361119482,-27255.39471025628,308.07441338872394
146.19999999996998,-32174.71466302796,-27227.806134159036,297.5625601140349
146.39999999997093,-32143.87593249287,-27112.267057275953,302.65738888533156
146.59999999997189,-32391.47749499287,-27290.303530968813,306.8418135212861
146.79999999997284,-32421.212497577275,-27477.25230491275,297.38521410815315
146.9999999999738,-32275.485935077275,-27525.114544000215,285.7406124193192
147.19999999997475,-32368.522027099825,-27498.27779648904,292.9511094017547
147.3999999999757,-32296.165085692337,-27440.716374687763,292.0611409160734
147.59999999997666,-32364.421810105152,-27205.629535022832,310.30762495642574
147.79999999997762,-32222.354367644934,-27205.129378868674,301.7921806348264
147.99999999997857,-32266.373688452994,-27125.310701574723,309.24118672410157
148.19999999997953,-32085.108063452994,-27174.342539043282,295.3885144703094
148.39999999998048,-32299.857534293755,-27186.51002638889,307.57406698053137
148.59999999998143,-31975.047126253165,-26957.654169266607,301.8022841268119
148.7999999999824,-32092.273688753165,-27064.02021224427,302.45555757514336
148.99999999998334,-32069.187751253165,-27117.829026756837,297.83024478945816
149.1999999999843,-32228.147626433813,-27210.48142032727,301.8187203934656
149.39999999998525,-32318.053876433813,-27296.01838706649,302.0815380917014
149.5999999999862,-32357.33929466846,-27468.981627061672,294.0406546507807
149.79999999998716,-32479.5517133284,-27602.509196164843,293.3600346000329
149.99999999998812,-32338.1242040761,-27630.27672630755,283.1827473534289
150.19999999998907,-32388.712042902363,-27548.668866227148,291.13447930342846
150.39999999999003,-32506.191685505066,-27565.926585282985,297.16294980700116
150.59999999999098,-32592.563871654944,-27555.7149864964,302.9725818516365
150.79999999999194,-32482.609579937387,-27528.715594121575,297.9827438389921
150.9999999999929,-32573.229994078953,-27588.08398128659,299.86259124300744
151.19999999999385,-32631.71804876096,-27548.714878393163,305.74881819943874
151.3999999999948,-32497.05398626096,-27575.239480587246,296.0531241214443
151.59999999999576,-32715.5326432382,-27585.996650459827,308.5478240199463
151.79999999999671,-32369.645045083947,-27399.589682177873,298.9548703123001
151.99999999999767,-32363.205153908697,-27474.187293804367,294.08036603185633
152.19999999999862,-32347.205546208832,-27343.666964879434,300.96892659346196
152.39999999999958,-32309.785866309132,-27270.049013349402,303.146296624698
152.60000000000053,-32138.0013819139,-27205.675954615464,296.6853688313592
152.8000000000015,-32233.13503371374,-27115.964279910637,307.8040398677975
153.00000000000244,-32329.957588548044,-27175.12669804375,310.069342859687
153.2000000000034,-32099.032273689838,-27213.875594175042,293.8481113268058
153.40000000000435,-32437.427431989607,-27158.42773082448,317.53824772642014
153.6000000000053,-32499.509785182192,-27420.102208932745,305.53253884340387
153.80000000000626,-32169.021847588534,-27370.538626993133,288.6345974363659
154.00000000000722,-32444.781128941482,-27351.181122665672,306.38623075790747
154.20000000000817,-32306.983062954794,-27350.094889916887,298.16284783931224
154.40000000000913,-32283.979422624136,-27330.592263073573,297.9522576231786
154.60000000001008,-32421.095836768305,-27466.837672750844,298.00464960041626
154.80000000001104,-32269.633339910943,-27353.4758046199,295.71285047786824
155.000000000012,-32636.22886621146,-27315.231703975558,320.0644460503996
155.20000000001295,-32378.130745733273,-27305.80080355995,305.1068105520981
155.4000000000139,-32253.152849154605,-27348.04007997556,295.04849437324907
155.60000000001486,-32359.952225345798,-27451.572500394803,295.2450057333454
155.8000000000158,-32407.48029133823,-27408.928751627507,300.66894997922134
156.00000000001677,-32241.280926792824,-27321.73146529746,295.9168789613515
156.20000000001772,-32422.29789108102,-27300.783089649107,308.0653396121009
156.40000000001868,-32271.197052937845,-27184.906531690765,305.946556350028
156.60000000001963,-32359.749402696732,-27202.0493873104,310.2419242082615
156.8000000000206,-32241.971654312627,-27326.552317720794,295.66844692895916
157.00000000002154,-32420.532490180864,-27346.604804766655,305.2029167498149
157.2000000000225,-32252.454365180864,-27276.667997046432,299.29959724182083
157.40000000002345,-32247.826466778497,-27268.032472945022,299.54066079818676
157.6000000000244,-32272.932353554672,-27245.91335824007,302.38130203101076
157.80000000002536,-32407.11790087502,-27345.499562988145,304.4624945361856
158.00000000002632,-32450.527311290876,-27496.752438840427,297.97557902530406
158.20000000002727,-32306.61085282729,-27500.64695629009,289.0845691857191
158.40000000002823,-32408.568017880927,-27292.625960564736,307.7301322808439
158.60000000002918,-32409.346392757026,-27311.74544460303,306.6268922743257
158.80000000003014,-32238.22772298337,-27269.100067554304,298.89906758009187
159.0000000000311,-32236.19089379729,-27320.322722876997,295.6954448592958
159.20000000003205,-32688.15094903941,-27586.47983494858,306.87171770200155
159.400000000033,-32611.73102887228,-27689.086285859084,296.1030639064226
159.60000000003396,-32704.64987612047,-27629.25280232911,305.29130224648543
159.8000000000349,-32578.024702434865,-27587.71673483678,300.1730890980253
160.00000000003587,-32424.26593541904,-27618.50230948013,289.07252266583805
160.20000000003682,-32518.76536389804,-27648.125098996243,292.97493134566963
160.40000000003778,-32713.5755782965,-27681.01511047402,302.71462833705056
160.60000000003873,-32545.67782474053,-27802.232770064147,285.32398486706734
160.8000000000397,-32726.18563724053,-27794.23071337701,296.6630825994672
161.00000000004064,-32549.212418377138,-27645.952873528673,294.93702067749433
161.2000000000416,-32696.154607335076,-27632.740030109853,304.5705405154022
161.40000000004255,-32718.12471253026,-27660.01860923294,304.2512293571169
161.6000000000435,-32614.980541342607,-27561.282585630397,303.98607392253956
161.80000000004446,-32390.2832123549,-27485.395017188537,295.0349859734557
162.00000000004542,-32446.861493247532,-27430.620718761318,301.7329789491398
162.20000000004637,-32406.569237084623,-27523.001252086397,293.75254942085365
162.40000000004733,-32336.847104152985,-27323.045924751408,301.58623433989754
162.60000000004828,-32269.640998854593,-27254.941934504837,301.64024321075266
162.80000000004924,-32300.28638434544,-27327.03523913765,299.147100501663
163.0000000000502,-32180.998495563836,-27143.143951223436,303.0330734736281
163.20000000005115,-32177.727713168395,-27049.33344722938,308.4791477629896
163.4000000000521,-32125.92670833494,-26977.04039953265,309.71176904571166
163.60000000005306,-32102.079344455444,-27098.290226816724,300.9839966569508
163.800000000054,-32043.67402970072,-27078.305246472795,298.6729668489411
